4209.111: [GC [PSYoungGen: 2525458K->54625K(2567040K)] 6801607K->4390276K(6987328K), 0.1178670 secs] [Times: user=0.79 sys=0.09, real=0.12 secs] 
4275.547: [GC [PSYoungGen: 2461665K->56826K(2568832K)] 6797316K->4392542K(6989120K), 0.0645850 secs] [Times: user=0.49 sys=0.00, real=0.06 secs] 
4296.114: [GC [PSYoungGen: 2463866K->52191K(2568192K)] 6799582K->4390351K(6988480K), 0.0655000 secs] [Times: user=0.49 sys=0.01, real=0.07 secs] 
4316.622: [GC [PSYoungGen: 2459231K->50302K(2568512K)] 6797391K->4390450K(6988800K), 0.0616580 secs] [Times: user=0.49 sys=0.00, real=0.06 secs] 
4369.543: [GC [PSYoungGen: 2457342K->50621K(2565824K)] 6797490K->4391601K(6986112K), 0.0624080 secs] [Times: user=0.46 sys=0.01, real=0.06 secs] 
4403.847: [GC [PSYoungGen: 2459261K->39691K(2567168K)] 6800241K->4392994K(6987456K), 0.1370030 secs] [Times: user=0.70 sys=0.36, real=0.14 secs] 
4481.091: [GC [PSYoungGen: 2448331K->28180K(2571840K)] 6801634K->4390843K(6992128K), 0.0559860 secs] [Times: user=0.42 sys=0.02, real=0.06 secs] 
4644.556: [GC [PSYoungGen: 2442580K->20078K(2572224K)] 6805243K->4396388K(6992512K), 0.0628440 secs] [Times: user=0.39 sys=0.03, real=0.07 secs] 
4664.668: [GC [PSYoungGen: 2434478K->15476K(2572096K)] 6810788K->4392817K(6992384K), 0.0448140 secs] [Times: user=0.34 sys=0.00, real=0.05 secs] 
4684.768: [GC [PSYoungGen: 2430260K->6101K(2572352K)] 6807601K->4392517K(6992640K), 0.0481840 secs] [Times: user=0.36 sys=0.01, real=0.05 secs] 
4684.817: [Full GC [PSYoungGen: 6101K->0K(2572352K)] [PSOldGen: 4386415K->4390345K(5461376K)] 4392517K->4390345K(8033728K) [PSPermGen: 71475K->71475K(86016K)], 11.3615070 secs] [Times: user=10.50 sys=0.86, real=11.36 secs] 
